"Abandonment","Abandonment"
"Abatement","Abatement"
"Abduction","Abduction"
"Ab initio","Ab initio"
"Abovementioned","Abovementioned"
"Abscond","Abscond"
"Absolute","Absolute"
"Absolute discharge","Absolute discharge"
"Absolute owner","Absolute owner"
"Absolute privilege","Absolute privilege"
"Abstract of title","Abstract of title"
"Abuse of process","Abuse of process"
"Abuttals","Abuttals"
"Acceptance","Acceptance"
"Acceptance of service","Acceptance of service"
"Acceptor","Acceptor"
"Accessory","Accessory"
"Accomplice","Accomplice"
"Accordingly","Accordingly"
"Accounts","Accounts"
"Accumulation","Accumulation"
"Accused","Accused"
"Acknowledgement","Acknowledgement"
"Acknowledgement of Service","Acknowledgement of Service"
"Acquit","Acquit"
"Acquittal","Acquittal"
"Action","Action"
"Active trust","Active trust"
"Act of bankruptcy","Act of bankruptcy"
"Act of God","Act of God"
"Actual bodily harm","Actual bodily harm"
"Actual loss","Actual loss"
"Actuary","Actuary"
"Actus reus","Actus reus"
"Additional voluntary contribution (AVC)","Additional voluntary contribution (AVC)"
"Ademption","Ademption"
"Ad hoc","Ad hoc"
"Ad idem","Ad idem"
"Ad infinitum","Ad infinitum"
"Adjourned sine die","Adjourned sine die"
"Adjournment","Adjournment"
"Adjudge/adjudicate","Adjudge/adjudicate"
"Adjudication order","Adjudication order"
"Administration order","Administration order"
"Administrator","Administrator"
"Admissibility of evidence","Admissibility of evidence"
"Admission","Admission"
"Admonition","Admonition"
"Adoption","Adoption"
"Adoptive child","Adoptive child"
"Adoptive parent","Adoptive parent"
"Ad valorem","Ad valorem"
"Adverse possession","Adverse possession"
"Adverse witness","Adverse witness"
"Advocate","Advocate"
"Affidavit","Affidavit"
"Affirm","Affirm"
"Affirmation","Affirmation"
"Affray","Affray"
"Aforementioned","Aforementioned"
"Aforesaid","Aforesaid"
"Agency","Agency"
"Agent","Agent"
"Age of consent","Age of consent"
"Aggravated assault","Aggravated assault"
"Aggravated burglary","Aggravated burglary"
"Aggravated damages","Aggravated damages"
"Aggravated vehicle taking","Aggravated vehicle taking"
"Agricultural holding","Agricultural holding"
"Aiding and abetting","Aiding and abetting"
"Airspace","Airspace"
"Alias","Alias"
"Alibi","Alibi"
"Alien","Alien"
"Alienation","Alienation"
"All and sundry","All and sundry"
"Allegation","Allegation"
"Alleviate","Alleviate"
"Allocation rate","Allocation rate"
"Allotment","Allotment"
"All that","All that"
"Alternate director","Alternate director"
"Alternative verdict","Alternative verdict"
"Amalgamation","Amalgamation"
"Ambiguity","Ambiguity"
"Ambulatory will","Ambulatory will"
"Amnesty","Amnesty"
"Ancient lights","Ancient lights"
"Annual accounts","Annual accounts"
"Annual general meeting","Annual general meeting"
"Annual return","Annual return"
"Annuitant","Annuitant"
"Annuity","Annuity"
"Annul","Annul"
"Ante","Ante"
"Antecedents","Antecedents"
"Antenuptial agreement","Antenuptial agreement"
"Anton Piller order","Anton Piller order"
"Appeal","Appeal"
"Appellant","Appellant"
"Appellate jurisdiction","Appellate jurisdiction"
"Appertaining to applicant","Appertaining to applicant"
"Appointee","Appointee"
"Appointor","Appointor"
"Appurtenances","Appurtenances"
"Arbitrage","Arbitrage"
"Arbitration","Arbitration"
"Arbitrator","Arbitrator"
"Arraignment","Arraignment"
"Arrest","Arrest"
"Arrestable offence","Arrestable offence"
"Arson","Arson"
"Articles","Articles"
"Articles of association","Articles of association"
"Assault","Assault"
"Assent","Assent"
"Asset","Asset"
"Assign","Assign"
"Assignment","Assignment"
"Assurance","Assurance"
"Assure","Assure"
"Assured","Assured"
"Assured shorthold tenancy","Assured shorthold tenancy"
"Attachment of earnings","Attachment of earnings"
"Attest","Attest"
"Attorney","Attorney"
"Attorney General","Attorney General"
"Audit","Audit"
"Auditor's report","Auditor's report"
"Authorised share capital","Authorised share capital"
"Authorised investments","Authorised investments"
"Autopsy","Autopsy"
"Bail","Bail"
"Bailee","Bailee"
"Bail hostel","Bail hostel"
"Bailiff","Bailiff"
"Bailiwick","Bailiwick"
"Bailment","Bailment"
"Bailor","Bailor"
"Balance sheet","Balance sheet"
"Banker's draft","Banker's draft"
"Bankrupt","Bankrupt"
"Bankruptcy order","Bankruptcy order"
"Bankruptcy search","Bankruptcy search"
"Bar","Bar"
"Bare trust","Bare trust"
"Bare trustee","Bare trustee"
"Bargain and sale","Bargain and sale"
"Barrister","Barrister"
"Barter","Barter"
"Battery","Battery"
"Bearer","Bearer"
"Bench","Bench"
"Bench warrant","Bench warrant"
"Beneficial interest","Beneficial interest"
"Beneficial owner","Beneficial owner"
"Beneficiary","Beneficiary"
"Bequeath","Bequeath"
"Bequest","Bequest"
"Bigamy","Bigamy"
"Bill of costs","Bill of costs"
"Bill of exchange","Bill of exchange"
"Bill of lading","Bill of lading"
"Bill of sale","Bill of sale"
"Binding effect","Binding effect"
"Binding over","Binding over"
"Binding precedent","Binding precedent"
"Blackmail","Blackmail"
"Bodily harm","Bodily harm"
"Bona fide","Bona fide"
"Bona vacantia","Bona vacantia"
"Bond","Bond"
"Bonded goods","Bonded goods"
"Bonded warehouse","Bonded warehouse"
"Bonus shares","Bonus shares"
"Book value","Book value"
"Bought note","Bought note"
"Breach of contract","Breach of contract"
"Breach of duty","Breach of duty"
"Breach of the peace (or breaking the peace)","Breach of the peace (or breaking the peace)"
"Breach of trust","Breach of trust"
"Break clause","Break clause"
"Bridle way","Bridle way"
"Brief","Brief"
"Building preservation notice","Building preservation notice"
"Burglary","Burglary"
"Bye-law or bylaw","Bye-law or bylaw"
"Call","Call"
"Called-up capital","Called-up capital"
"Canon law","Canon law"
"Capacity","Capacity"
"Capital allowances","Capital allowances"
"Capital gain","Capital gain"
"Capital gains tax","Capital gains tax"
"Capital punishment","Capital punishment"
"Capital redemption reserve","Capital redemption reserve"
"Careless driving","Careless driving"
"Care order","Care order"
"Cartel","Cartel"
"Case law","Case law"
"Case stated","Case stated"
"Causation","Causation"
"Cause of action","Cause of action"
"Causing death by careless and inconsiderate driving","Causing death by careless and inconsiderate driving"
"Causing death by dangerous driving","Causing death by dangerous driving"
"Caution","Caution"
"Caveat","Caveat"
"Caveat emptor","Caveat emptor"
"Central Criminal Court","Central Criminal Court"
"Certificate of Incorporation","Certificate of Incorporation"
"Certificate of origin","Certificate of origin"
"Certiorari","Certiorari"
"Challenge for cause","Challenge for cause"
"Challenge to a jury","Challenge to a jury"
"Challenge to the array","Challenge to the array"
"Challenge without cause","Challenge without cause"
"Chambers","Chambers"
"Chancery Division","Chancery Division"
"Charge","Charge"
"Chargeable event","Chargeable event"
"Chargeable gain","Chargeable gain"
"Charge certificate","Charge certificate"
"Charges clause","Charges clause"
"Charge sheet","Charge sheet"
"Charges register","Charges register"
"Charging clause","Charging clause"
"Charging order","Charging order"
"Charity","Charity"
"Charity Commission","Charity Commission"
"Chattel","Chattel"
"Chattels personal","Chattels personal"
"Chattels real","Chattels real"
"Cheat","Cheat"
"Cheque","Cheque"
"Cheque card","Cheque card"
"Chief rent","Chief rent"
"Child abuse","Child abuse"
"Child assessment order","Child assessment order"
"Children in care","Children in care"
"Child Support Agency","Child Support Agency"
"Child Support Maintenance","Child Support Maintenance"
"Chose","Chose"
"Chose in action","Chose in action"
"Chose in possession","Chose in possession"
"Circuit","Circuit"
"Circuit judge","Circuit judge"
"Circumstantial evidence","Circumstantial evidence"
"Citation","Citation"
"Citizen's arrest","Citizen's arrest"
"Civil court","Civil court"
"Claim","Claim"
"Claimant","Claimant"
"Clause","Clause"
"Clearing bank","Clearing bank"
"Clerk to the Justices","Clerk to the Justices"
"Close company","Close company"
"Closing order","Closing order"
"Codicil","Codicil"
"Codifying statute","Codifying statute"
"Coercion","Coercion"
"Collateral","Collateral"
"Commissioner for Oaths","Commissioner for Oaths"
"Committal for sentence","Committal for sentence"
"Committal for trial","Committal for trial"
"Committal order","Committal order"
"Committal proceedings","Committal proceedings"
"Committee of Inspection","Committee of Inspection"
"Common assault","Common assault"
"Common duty of care","Common duty of care"
"Common seal","Common seal"
"Commorientes","Commorientes"
"Community service order","Community service order"
"Companies House","Companies House"
"Company secretary","Company secretary"
"Compensation","Compensation"
"Compensation for loss of office","Compensation for loss of office"
"Compensation order","Compensation order"
"Completion","Completion"
"Composition with creditors","Composition with creditors"
"Compulsory purchase","Compulsory purchase"
"Compulsory winding up","Compulsory winding up"
"Concealment","Concealment"
"Concealment of securities","Concealment of securities"
"Conclusive evidence","Conclusive evidence"
"Concurrent sentence","Concurrent sentence"
"Condition","Condition"
"Conditional agreement","Conditional agreement"
"Conditional discharge","Conditional discharge"
"Conditional sale agreement","Conditional sale agreement"
"Condition precedent","Condition precedent"
"Condition subsequent","Condition subsequent"
"Confiscation order","Confiscation order"
"Consecutive sentence","Consecutive sentence"
"Consent","Consent"
"Consideration","Consideration"
"Consignee","Consignee"
"Consignor","Consignor"
"Consistory Court","Consistory Court"
"Conspiracy","Conspiracy"
"Constructive","Constructive"
"Constructive dismissal","Constructive dismissal"
"Constructive notice","Constructive notice"
"Consumer credit agreement","Consumer credit agreement"
"Contempt of court","Contempt of court"
"Contemptuous damages","Contemptuous damages"
"Contingency fee","Contingency fee"
"Contingent legacy","Contingent legacy"
"Contract","Contract"
"Contract for services","Contract for services"
"Contract of exchange","Contract of exchange"
"Contract of service","Contract of service"
"Contributory negligence","Contributory negligence"
"Conversion","Conversion"
"Convey","Convey"
"Conveyance","Conveyance"
"Conveyancing","Conveyancing"
"Conviction","Conviction"
"Copyright","Copyright"
"Coroner","Coroner"
"Corporate body (or corporation)","Corporate body (or corporation)"
"Corporation tax","Corporation tax"
"Corpus","Corpus"
"Corpus delicti","Corpus delicti"
"Counsel","Counsel"
"Counterclaim","Counterclaim"
"Counterfeit","Counterfeit"
"Counterpart","Counterpart"
"County court","County court"
"County court judge","County court judge"
"Coupon","Coupon"
"Court of Appeal","Court of Appeal"
"Court of Protection","Court of Protection"
"Covenant","Covenant"
"Creditor","Creditor"
"Creditors' voluntary winding up","Creditors' voluntary winding up"
"Criminal damage","Criminal damage"
"Criminal responsibility","Criminal responsibility"
"Cross-examine","Cross-examine"
"Crown Court","Crown Court"
"Culpa","Culpa"
"Cum dividend","Cum dividend"
"Cumulative preference shares","Cumulative preference shares"
"Curfew","Curfew"
"Customs duties","Customs duties"
"Damages","Damages"
"Dangerous driving","Dangerous driving"
"Debenture","Debenture"
"Debt","Debt"
"Debtor","Debtor"
"Debt securities","Debt securities"
"Deceit","Deceit"
"Decree","Decree"
"Decree absolute","Decree absolute"
"Decree nisi","Decree nisi"
"Deed","Deed"
"Deed of arrangement","Deed of arrangement"
"De facto","De facto"
"Defamation","Defamation"
"Default","Default"
"Defence","Defence"
"Defendant","Defendant"
"De jure","De jure"
"De minimis non curat lex","De minimis non curat lex"
"Dependant","Dependant"
"Deponent","Deponent"
"Deposition","Deposition"
"Depreciation","Depreciation"
"Derogation","Derogation"
"Determination","Determination"
"Devise","Devise"
"Devisee","Devisee"
"Diminished responsibility","Diminished responsibility"
"Diocese","Diocese"
"Diplomatic immunity","Diplomatic immunity"
"Direction/directing","Direction/directing"
"Director","Director"
"Disbursement","Disbursement"
"Discharge","Discharge"
"Disclaim/disclaimer","Disclaim/disclaimer"
"Discovery","Discovery"
"Discretionary trust","Discretionary trust"
"Disposal (dispose of)","Disposal (dispose of)"
"Distrain/distress","Distrain/distress"
"Divorce","Divorce"
"Divorce petition","Divorce petition"
"Domicile","Domicile"
"Domiciled","Domiciled"
"Domicile of choice","Domicile of choice"
"Domicile of origin","Domicile of origin"
"Drawee","Drawee"
"Drawer","Drawer"
"Duress","Duress"
"Duty","Duty"
"Easement","Easement"
"Enabling legislation","Enabling legislation"
"Endorsement","Endorsement"
"Endowment policy","Endowment policy"
"Enduring power of Attorney (in England and Wales)","Enduring power of Attorney (in England and Wales)"
"Engrossment","Engrossment"
"Equitable mortgage","Equitable mortgage"
"Escrow","Escrow"
"Estate","Estate"
"Estimate","Estimate"
"Estoppel","Estoppel"
"Et seq","Et seq"
"Euthanasia","Euthanasia"
"Excess of jurisdiction","Excess of jurisdiction"
"Exchange of contract","Exchange of contract"
"Excise duty","Excise duty"
"Exclusions","Exclusions"
"Exclusive licence","Exclusive licence"
"Ex dividend","Ex dividend"
"Execute","Execute"
"Executed","Executed"
"Executive director","Executive director"
"Executor","Executor"
"Executory","Executory"
"Executrix","Executrix"
"Exemplary damages","Exemplary damages"
"Ex gratia","Ex gratia"
"Ex parte","Ex parte"
"Expert witness","Expert witness"
"Ex post facto","Ex post facto"
"Extradition","Extradition"
"Extraordinary general meeting","Extraordinary general meeting"
"Extraordinary resolution","Extraordinary resolution"
"Ex works","Ex works"
"Factor","Factor"
"False imprisonment","False imprisonment"
"False pretence","False pretence"
"False representation","False representation"
"Family Division","Family Division"
"Felony","Felony"
"Feme covert","Feme covert"
"Feme sole","Feme sole"
"Feu","Feu"
"Feu duty","Feu duty"
"Fiduciary","Fiduciary"
"Final judgement","Final judgement"
"Fitness to plead","Fitness to plead"
"Fixed charge","Fixed charge"
"Floating charge","Floating charge"
"Forbearance","Forbearance"
"Force majeure","Force majeure"
"Foreclosure","Foreclosure"
"Forfeiture","Forfeiture"
"Fostering","Fostering"
"Fraud","Fraud"
"Fraudulent conveyance","Fraudulent conveyance"
"Fraudulent preference","Fraudulent preference"
"Fraudulent trading","Fraudulent trading"
"Freehold","Freehold"
"Free of encumbrances","Free of encumbrances"
"Frustration","Frustration"
"Futures contract","Futures contract"
"Garnishee order","Garnishee order"
"General damages","General damages"
"General meeting","General meeting"
"Grant","Grant"
"Grant of probate","Grant of probate"
"Grievous bodily harm","Grievous bodily harm"
"Guarantee","Guarantee"
"Guarantee company","Guarantee company"
"Guarantor","Guarantor"
"Guardian","Guardian"
"Guilty","Guilty"
"Habeas corpus","Habeas corpus"
"Harassment of debtors","Harassment of debtors"
